soc_id	var_id	code	category	title	definition	pref_name_for_society	glottocode	Lat	Long	description	name	region
B100	B001	60	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Worrorra	worr1237	-15.32	124.72	NA	NA	Australia
B101	B001	60	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Kija	kitj1240	-16.91	127.83	NA	NA	Australia
B102	B001	35	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Lardil	lard1243	-16.48	139.32	NA	NA	Australia
B103	B001	13	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Kaiadilt	kaya1319	-16.94	139.03	NA	NA	Australia
B104	B001	55	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Karajarri	kara1476	-18.94	121.68	NA	NA	Australia
B105	B001	68	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Mamu	mamu1253	-17.64	145.84	NA	NA	Australia
B106	B001	55	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Kariyarra	kari1304	-20.88	118.27	NA	NA	Australia
B107	B001	24	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Warunggu	waru1264	-18.41	145.61	NA	NA	Australia
B108	B001	65	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Djaru	jaru1254	-19.16	130	NA	NA	Australia
B109	B001	70	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Walbiri	warl1254	-20	130.57	NA	NA	Australia
B110	B001	65	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Ngatjan	ngad1260	-17.36	145.56	NA	NA	Australia
B111	B001	70	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Mardudjara	mart1256	-22.79	125.06	NA	NA	Australia
B112	B001	80	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Ildawongga	wanm1242	-22.93	127.18	NA	NA	Australia
B113	B001	65	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Pintubi	pint1250	-22.86	129.44	NA	NA	Australia
B114	B001	20	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Undanbi	waka1274	-27.27	153.02	NA	NA	Australia
B115	B001	55	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Jinibarra	yaga1256	-27.25	152.87	NA	NA	Australia
B116	B001	65	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Karuwali	karr1236	-24.41	141.64	NA	NA	Australia
B117	B001	65	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Alyawara	alya1239	-22.27	135.17	NA	NA	Australia
B118	B001	75	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Ngatatjara	ngaa1240	-25.32	127.27	NA	NA	Australia
B119	B001	35	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Badjalang	midd1357	-29.59	152.78	NA	NA	Australia
B120	B001	65	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Pitjandjara	pitj1243	-26	130	NA	NA	Australia
B121	B001	55	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Diyari	dier1241	-28.54	139.09	NA	NA	Australia
B122	B001	65	Subsistence, Economy, Property	Subsistence economy: Gathering	Group's dependence upon gathering of terrestrial plants, relative to other subsistence activities.	Southern Aranda	lowe1436	-26.09	135.52	NA	NA	Australia
